,Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Males; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Males; Total earnings ;  Victoria ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Females; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Females; Total earnings ;  Victoria ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Persons; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Persons; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Standard Errors ;  Earnings; Males; Full Time; Adult; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Males; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Standard Errors ;  Earnings; Females; Full Time; Adult; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Females; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Standard Errors ;  Earnings; Persons; Full Time; Adult; Total earnings ;  Victoria ;,Standard Errors ;  Earnings; Persons; Total earnings ;  Victoria ;
Unit,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual
Collection Month,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Series Start,Nov-1994,Nov-1994,Nov-1994,Nov-1994,Nov-1994,Nov-1994,Nov-1994,Nov-1994,Nov-1994,May-2009,May-2009,May-2009,May-2009,May-2009,May-2009,May-2009,May-2009,May-2009
Series End,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020
No. Obs,53,53,53,53,53,53,53,53,53,24,24,24,24,24,24,24,24,24
Series ID,A85006425W,A85006428C,A85006434X,A85006426X,A85006429F,A85006435A,A85006427A,A85006430R,A85006436C,A85028824R,A85028827W,A85028830K,A85028825T,A85028828X,A85028831L,A85028826V,A85028829A,A85028832R
Nov-1994,665.80,722.50,650.20,562.00,575.30,437.90,628.00,668.90,552.10,,,,,,,,,
May-1995,681.50,738.70,665.20,576.70,590.70,436.10,644.10,685.90,558.80,,,,,,,,,
Nov-1995,693.70,751.90,673.40,579.80,595.80,433.20,654.80,698.60,564.20,,,,,,,,,
May-1996,704.60,765.90,674.10,594.60,607.90,442.50,667.50,712.70,570.60,,,,,,,,,
Nov-1996,720.50,791.90,685.50,606.90,625.70,443.40,681.20,734.40,576.70,,,,,,,,,
May-1997,736.00,788.10,673.70,617.50,635.90,452.50,693.10,733.00,570.90,,,,,,,,,
Nov-1997,746.70,805.60,709.90,631.30,651.40,460.90,706.50,751.80,597.00,,,,,,,,,
May-1998,765.70,822.90,696.50,644.40,658.40,466.90,723.10,765.20,592.50,,,,,,,,,
Nov-1998,779.10,839.10,711.00,656.00,671.60,470.40,734.50,778.40,598.30,,,,,,,,,
May-1999,779.50,831.30,710.70,663.60,676.70,481.30,737.80,775.70,602.60,,,,,,,,,
Nov-1999,776.60,834.30,718.60,692.00,708.30,482.10,746.60,789.60,603.90,,,,,,,,,
May-2000,794.10,844.80,730.50,700.50,716.20,495.80,761.30,799.70,618.10,,,,,,,,,
Nov-2000,803.20,851.40,727.70,710.00,725.60,499.60,771.00,807.90,618.40,,,,,,,,,
May-2001,830.20,876.80,749.20,725.80,738.90,507.50,793.50,828.50,633.20,,,,,,,,,
Nov-2001,856.70,905.30,773.90,754.30,768.60,513.10,822.70,859.90,651.60,,,,,,,,,
May-2002,906.90,960.10,821.10,785.60,796.60,525.60,866.80,906.00,680.40,,,,,,,,,
Nov-2002,933.40,990.00,841.50,787.50,800.80,537.70,882.80,924.40,695.40,,,,,,,,,
May-2003,966.20,1020.10,869.00,826.00,839.30,562.70,918.60,958.70,724.30,,,,,,,,,
Nov-2003,991.30,1062.20,903.30,823.30,840.10,566.10,936.00,989.10,748.60,,,,,,,,,
May-2004,997.20,1055.40,887.70,826.90,843.70,562.10,940.20,984.50,733.90,,,,,,,,,
Nov-2004,1036.80,1117.40,922.40,867.90,883.60,566.00,983.00,1043.00,754.40,,,,,,,,,
May-2005,1028.60,1128.00,932.00,877.40,892.00,585.90,978.30,1049.50,767.30,,,,,,,,,
Nov-2005,1042.20,1125.60,939.50,901.80,917.40,595.20,998.90,1061.30,782.30,,,,,,,,,
May-2006,1067.00,1129.60,951.60,910.70,925.70,614.10,1016.80,1064.10,795.40,,,,,,,,,
Nov-2006,1080.40,1145.50,957.10,912.10,924.80,615.70,1022.30,1069.40,790.70,,,,,,,,,
May-2007,1112.80,1169.10,988.60,939.80,953.20,624.70,1057.50,1100.10,819.60,,,,,,,,,
Nov-2007,1125.30,1195.00,997.70,958.60,973.50,629.60,1070.20,1121.70,820.80,,,,,,,,,
May-2008,1158.30,1221.90,1010.60,1000.30,1013.70,655.00,1103.20,1149.30,836.30,,,,,,,,,
Nov-2008,1189.30,1250.00,1024.90,1021.70,1037.30,679.40,1129.00,1173.50,852.10,,,,,,,,,
May-2009,1239.50,1295.80,1049.70,1041.90,1054.30,695.30,1165.90,1205.90,870.30,23.50,24.60,27.40,15.10,15.60,16.20,16.40,17.50,19.70
Nov-2009,1266.20,1332.90,1103.00,1048.40,1062.10,709.40,1185.10,1232.10,902.60,23.40,25.30,26.50,15.90,16.30,14.20,18.50,20.10,19.60
May-2010,1309.50,1369.70,1152.40,1073.30,1086.30,741.60,1224.90,1268.20,949.00,23.10,23.30,23.30,14.40,14.30,15.10,17.60,18.00,19.00
Nov-2010,1321.40,1387.30,1177.90,1097.40,1111.70,760.60,1238.20,1284.90,963.80,22.00,23.70,24.60,18.80,19.20,13.20,16.70,18.40,19.20
May-2011,1342.30,1407.00,1173.90,1113.70,1127.30,771.90,1255.60,1300.90,967.60,26.10,27.50,25.20,15.10,14.90,15.60,20.20,21.30,18.10
Nov-2011,1373.70,1451.20,1211.90,1149.00,1162.80,785.00,1291.90,1346.30,997.50,30.80,32.20,26.20,19.80,19.70,14.90,25.40,26.50,19.50
May-2012,1372.40,1457.40,1214.60,1163.40,1178.10,784.30,1297.60,1357.50,999.80,29.40,31.20,27.00,19.20,18.90,15.20,23.20,23.70,18.50
Nov-2012,1403.40,1491.90,1229.50,1204.20,1218.00,818.70,1331.00,1392.40,1023.70,31.20,34.20,29.60,17.90,18.00,14.60,23.50,25.10,20.20
May-2013,1403.90,1494.60,1267.10,1213.90,1231.00,820.20,1338.50,1403.90,1046.00,27.10,30.90,27.40,14.50,14.20,12.10,21.10,24.00,17.70
Nov-2013,1471.10,1551.20,1295.50,1235.80,1253.80,827.30,1389.10,1447.60,1064.20,38.40,42.10,39.10,18.40,18.20,16.20,28.70,31.40,25.90
May-2014,1452.20,1531.20,1272.40,1250.40,1267.00,842.80,1380.10,1436.80,1057.00,30.60,29.90,24.70,15.40,15.00,14.20,21.70,21.60,17.60
Nov-2014,1477.60,1561.10,1281.80,1258.20,1276.10,843.20,1396.60,1455.90,1056.80,23.40,23.70,22.30,15.60,15.30,13.00,16.00,16.40,15.70
May-2015,1471.30,1547.20,1269.00,1274.00,1291.00,859.60,1396.60,1450.30,1055.60,24.00,24.60,22.60,17.30,17.00,13.50,17.80,18.10,15.40
Nov-2015,1503.60,1583.60,1287.20,1290.50,1307.60,875.00,1424.80,1481.60,1073.70,23.50,23.70,19.40,15.10,15.10,14.70,16.40,17.10,13.30
