State/Territory,Date,Employment Rate (15-64)   ,Unemployment Rate (15+)  ,Participation Rate (15+)    
VIC,Jun-80,65.8,6.1,61.8
VIC,Jul-80,66.0,6.0,62.0
VIC,Aug-80,66.1,6.0,62.4
VIC,Sep-80,66.3,6.0,61.7
VIC,Oct-80,66.2,6.1,61.8
VIC,Nov-80,66.1,5.9,61.8
VIC,Dec-80,66.4,6.2,62.2
VIC,Jan-81,66.1,5.7,61.7
VIC,Feb-81,66.1,5.7,61.9
VIC,Mar-81,66.0,5.8,62.2
VIC,Apr-81,66.6,5.3,62.0
VIC,May-81,66.7,5.7,62.0
VIC,Jun-81,66.5,5.4,61.7
VIC,Jul-81,66.3,5.6,61.8
VIC,Aug-81,66.2,5.8,62.0
VIC,Sep-81,66.3,5.8,61.9
VIC,Oct-81,66.3,5.5,61.6
VIC,Nov-81,66.1,5.5,61.1
VIC,Dec-81,66.1,5.6,61.0
VIC,Jan-82,65.6,5.5,61.0
VIC,Feb-82,65.4,6.0,61.1
VIC,Mar-82,65.3,6.2,61.0
VIC,Apr-82,65.5,6.0,61.2
VIC,May-82,65.5,6.4,61.0
VIC,Jun-82,65.1,6.4,60.9
VIC,Jul-82,65.0,6.6,61.1
VIC,Aug-82,64.9,6.3,61.1
VIC,Sep-82,65.0,6.8,61.0
VIC,Oct-82,64.8,7.5,61.2
VIC,Nov-82,64.3,7.8,60.3
VIC,Dec-82,63.9,8.1,60.4
VIC,Jan-83,63.0,8.1,60.3
VIC,Feb-83,62.8,8.5,60.4
VIC,Mar-83,62.5,8.8,59.9
VIC,Apr-83,62.5,9.3,59.9
VIC,May-83,62.2,9.6,60.2
VIC,Jun-83,62.0,9.3,60.3
VIC,Jul-83,62.3,9.5,60.6
VIC,Aug-83,62.5,9.3,60.6
VIC,Sep-83,62.8,9.6,60.9
VIC,Oct-83,62.9,8.8,60.6
VIC,Nov-83,63.1,8.8,60.6
VIC,Dec-83,63.3,8.4,60.5
VIC,Jan-84,62.6,8.6,59.6
VIC,Feb-84,62.5,8.7,60.3
VIC,Mar-84,62.5,8.0,60.5
VIC,Apr-84,63.3,8.2,60.4
VIC,May-84,63.6,7.7,60.4
VIC,Jun-84,63.5,7.8,60.5
VIC,Jul-84,63.7,7.6,60.5
VIC,Aug-84,63.6,7.4,60.0
VIC,Sep-84,63.8,7.4,60.5
VIC,Oct-84,63.9,6.9,60.3
VIC,Nov-84,64.3,7.3,60.7
VIC,Dec-84,64.5,7.3,60.6
VIC,Jan-85,64.0,7.4,60.1
VIC,Feb-85,63.9,7.0,60.5
VIC,Mar-85,63.5,7.6,60.0
VIC,Apr-85,63.8,7.2,59.9
VIC,May-85,63.8,6.8,60.1
VIC,Jun-85,63.8,7.2,60.4
VIC,Jul-85,64.4,6.8,60.8
VIC,Aug-85,64.6,6.5,60.7
VIC,Sep-85,65.0,6.7,60.8
VIC,Oct-85,64.9,6.7,60.3
VIC,Nov-85,65.3,6.6,61.5
VIC,Dec-85,65.5,6.4,61.0
VIC,Jan-86,65.6,6.4,61.3
VIC,Feb-86,65.4,6.6,61.4
VIC,Mar-86,65.5,6.6,61.7
VIC,Apr-86,66.1,6.7,61.8
VIC,May-86,66.3,6.2,61.6
VIC,Jun-86,66.3,6.0,61.6
VIC,Jul-86,66.2,6.8,61.8
VIC,Aug-86,65.9,7.1,61.4
VIC,Sep-86,66.1,7.1,62.3
VIC,Oct-86,66.3,6.8,62.4
VIC,Nov-86,66.7,6.9,62.1
VIC,Dec-86,66.9,7.0,62.4
VIC,Jan-87,66.5,6.6,62.3
VIC,Feb-87,66.5,6.6,62.3
VIC,Mar-87,66.6,6.8,62.9
