,Estimated Resident Population ;  Male ;  Victoria ;,Estimated Resident Population ;  Female ;  Victoria ;,Estimated Resident Population ;  Persons ;  Victoria ;
Unit,Persons,Persons,Persons
Series Type,Original,Original,Original
Data Type,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE
Frequency,Quarter,Quarter,Quarter
Collection Month,3,3,3
Series Start,Jun-1981,Jun-1981,Jun-1981
Series End,Sep-2020,Sep-2020,Sep-2020
No. Obs,158,158,158
Series ID,A2060826F,A2060835J,A2060844K
Jun-1981,1958717,1988200,3946917
Sep-1981,1964139,1993194,3957333
Dec-1981,1969349,1999049,3968398
Mar-1982,1975617,2005209,3980826
Jun-1982,1981619,2011251,3992870
Sep-1982,1986589,2016142,4002731
Dec-1982,1991532,2021155,4012687
Mar-1983,1997990,2027264,4025254
Jun-1983,2003140,2032562,4035702
Sep-1983,2007981,2037204,4045185
Dec-1983,2012443,2042055,4054498
Mar-1984,2018217,2047992,4066209
Jun-1984,2023349,2053143,4076492
Sep-1984,2028241,2058308,4086549
Dec-1984,2033611,2064029,4097640
Mar-1985,2039883,2069858,4109741
Jun-1985,2045027,2075041,4120068
Sep-1985,2050054,2079742,4129796
Dec-1985,2055418,2085003,4140421
Mar-1986,2060732,2090321,4151053
Jun-1986,2065739,2095117,4160856
Sep-1986,2071040,2100902,4171942
Dec-1986,2076705,2107137,4183842
Mar-1987,2083552,2113862,4197414
Jun-1987,2089786,2120325,4210111
Sep-1987,2096699,2127008,4223707
Dec-1987,2102763,2132182,4234945
Mar-1988,2110504,2139481,4249985
Jun-1988,2116566,2146003,4262569
Sep-1988,2125227,2155149,4280376
Dec-1988,2132228,2163072,4295300
Mar-1989,2139405,2170573,4309978
Jun-1989,2144305,2175859,4320164
Sep-1989,2150768,2182769,4333537
Dec-1989,2157614,2190611,4348225
Mar-1990,2165704,2198844,4364548
Jun-1990,2172635,2205957,4378592
Sep-1990,2178688,2212495,4391183
Dec-1990,2182990,2217717,4400707
Mar-1991,2189007,2224403,4413410
Jun-1991,2192113,2228260,4420373
Sep-1991,2196187,2233222,4429409
Dec-1991,2198227,2236856,4435083
Mar-1992,2203040,2242101,4445141
Jun-1992,2205266,2244951,4450217
Sep-1992,2207071,2247765,4454836
Dec-1992,2207960,2250259,4458219
Mar-1993,2209979,2253286,4463265
Jun-1993,2209272,2253494,4462766
Sep-1993,2209805,2254989,4464794
Dec-1993,2210251,2256487,4466738
Mar-1994,2212247,2258763,4471010
Jun-1994,2212863,2260126,4472989
Sep-1994,2215726,2263652,4479378
Dec-1994,2217157,2266048,4483205
Mar-1995,2220854,2270435,4491289
Jun-1995,2223681,2273979,4497660
Sep-1995,2227492,2278894,4506386
Dec-1995,2232180,2285173,4517353
Mar-1996,2236817,2290756,4527573
Jun-1996,2240199,2294785,4534984
Sep-1996,2244152,2300328,4544480
Dec-1996,2247511,2305393,4552904
Mar-1997,2253101,2312255,4565356
Jun-1997,2254670,2314627,4569297
Sep-1997,2258780,2319395,4578175
Dec-1997,2261807,2324349,4586156
Mar-1998,2269033,2331839,4600872
Jun-1998,2271763,2335207,4606970
Sep-1998,2276529,2340779,4617308
Dec-1998,2281568,2347777,4629345
Mar-1999,2289427,2355725,4645152
Jun-1999,2292656,2359806,4652462
Sep-1999,2299046,2366580,4665626
Dec-1999,2304123,2373458,4677581
Mar-2000,2313086,2382474,4695560
Jun-2000,2317083,2386982,4704065
Sep-2000,2323973,2394463,4718436
Dec-2000,2329779,2401076,4730855
Mar-2001,2341511,2412214,4753725
Jun-2001,2345980,2417635,4763615
Sep-2001,2352599,2423453,4776052
Dec-2001,2359524,2430688,4790212
Mar-2002,2369798,2439142,4808940
Jun-2002,2374296,2443478,4817774
Sep-2002,2380962,2449421,4830383
Dec-2002,2388048,2456976,4845024
Mar-2003,2399068,2465146,4864214
Jun-2003,2403965,2469844,4873809
Sep-2003,2411587,2476239,4887826
Dec-2003,2417433,2482743,4900176
Mar-2004,2427205,2490865,4918070
Jun-2004,2431958,2495191,4927149
Sep-2004,2440687,2502672,4943359
Dec-2004,2447562,2509585,4957147
Mar-2005,2458825,2519517,4978342
Jun-2005,2464587,2524659,4989246
Sep-2005,2473631,2532610,5006241
Dec-2005,2481962,2541241,5023203
Mar-2006,2495951,2552256,5048207
Jun-2006,2502687,2558579,5061266
Sep-2006,2514544,2569049,5083593
Dec-2006,2524859,2579106,5103965
Mar-2007,2540885,2593189,5134074
Jun-2007,2551093,2602429,5153522
Sep-2007,2564179,2614336,5178515
Dec-2007,2574619,2624884,5199503
Mar-2008,2592080,2640920,5233000
Jun-2008,2603921,2652454,5256375
Sep-2008,2619884,2666665,5286549
Dec-2008,2633317,2679968,5313285
Mar-2009,2650782,2696890,5347672
Jun-2009,2663347,2708587,5371934
Sep-2009,2676690,2722184,5398874
Dec-2009,2686022,2733227,5419249
Mar-2010,2698331,2746841,5445172
Jun-2010,2705597,2755504,5461101
Sep-2010,2713247,2765463,5478710
Dec-2010,2720959,2774752,5495711
Mar-2011,2732846,2787532,5520378
Jun-2011,2740959,2796858,5537817
Sep-2011,2753738,2810924,5564662
Dec-2011,2766513,2825305,5591818
Mar-2012,2783292,2842062,5625354
Jun-2012,2796315,2854776,5651091
Sep-2012,2810993,2869427,5680420
Dec-2012,2825349,2884237,5709586
Mar-2013,2842811,2902104,5744915
Jun-2013,2856419,2916250,5772669
Sep-2013,2871393,2933106,5804499
Dec-2013,2884387,2948198,5832585
Mar-2014,2902774,2966737,5869511
Jun-2014,2915277,2979640,5894917
Sep-2014,2930934,2996265,5927199
Dec-2014,2945763,3011749,5957512
Mar-2015,2964190,3031015,5995205
Jun-2015,2977200,3045122,6022322
Sep-2015,2994248,3063310,6057558
Dec-2015,3011376,3081673,6093049
Mar-2016,3034156,3104471,6138627
Jun-2016,3051056,3122116,6173172
Sep-2016,3069372,3140819,6210191
Dec-2016,3086832,3158031,6244863
Mar-2017,3111412,3181172,6292584
Jun-2017,3126024,3195582,6321606
Sep-2017,3143734,3213671,6357405
Dec-2017,3158916,3228165,6387081
Mar-2018,3182283,3250372,6432655
Jun-2018,3197767,3264252,6462019
Sep-2018,3216728,3282159,6498887
Dec-2018,3231781,3296820,6528601
Mar-2019,3254461,3318378,6572839
Jun-2019,3266592,3330288,6596880
Sep-2019,3284877,3348550,6633427
Dec-2019,3298854,3362786,6661640
Mar-2020,3313585,3378708,6692293
Jun-2020,3315995,3380675,6696670
Sep-2020,3307879,3372769,6680648
